acute161_0005.acq
5 msec/sample
5 channels
PPG100C
Volts
GSR100C
microsiemens
RSP100C
Volts
Scanner TTL
Volts
Scanner Trigger
Volts
min	CH1	CH2	CH3	CH6	CH20	
	63017	63017	63017	63017	63017	
0	0.00793457	1.93329	-0.153198	-0.0012207	5	
8.33333E-05	0.0088501	1.93939	-0.0512695	0.000305176	5	
0.000166667	0.00762939	1.93939	0.0891113	-0.000610352	5	
0.00025	0.00823975	1.93787	0.259094	-0.000610352	5	
0.000333333	0.00854492	1.93939	0.449524	0.000305176	5	
0.000416667	0.00854492	1.93787	0.643616	0.000610352	5	
0.0005	0.00823975	1.93176	0.829468	0	5	
0.000583333	0.00854492	1.93787	0.996094	-0.000610352	5	
0.000666667	0.00823975	1.93329	1.13495	-0.0012207	5	
0.00075	0.00793457	1.93482	1.24176	-0.0012207	5	
0.000833333	0.00823975	1.93329	1.31531	-0.000915527	5	
0.000916667	0.00823975	1.93634	1.35956	0.000915527	5	
0.001	0.00793457	1.92871	1.37756	0	5	
0.00108333	0.00793457	1.93176	1.37634	0	5	
0.00116667	0.00823975	1.93024	1.35864	-0.000305176	5	
0.00125	0.00762939	1.92871	1.33087	-0.000305176	5	
0.00133333	0.00762939	1.93787	1.30127	-0.0012207	5	
0.00141667	0.00732422	1.93329	1.26862	-0.000915527	5	
0.0015	0.00671387	1.93482	1.2384	-0.000610352	5	
0.00158333	0.00671387	1.93787	1.21399	-0.000915527	5	
0.00166667	0.00640869	1.93482	1.19476	0	5	
0.00175	0.00640869	1.93787	1.17981	-0.000305176	5	
0.00183333	0.00671387	1.93787	1.17065	-0.000915527	5	
0.00191667	0.00610352	1.93024	1.16547	-0.0012207	5	
0.002	0.00579834	1.93024	1.16547	0	5	
0.00208333	0.00640869	1.93482	1.16882	-0.000915527	5	
0.00216667	0.00549316	1.93482	1.17584	0.000610352	5	
0.00225	0.00549316	1.93329	1.1853	0	5	
0.00233333	0.00549316	1.93634	1.19751	-0.000305176	5	
0.00241667	0.00457764	1.93482	1.21033	0.0012207	5	
0.0025	0.00457764	1.93024	1.22528	-0.000610352	5	
0.00258333	0.00518799	1.93482	1.23993	0	5	
0.00266667	0.00579834	1.92871	1.25397	-0.0012207	5	
0.00275	0.00518799	1.93482	1.26648	-0.000915527	5	
0.00283333	0.00488281	1.93329	1.27747	-0.0012207	5	
0.00291667	0.00457764	1.93176	1.28662	-0.000610352	5	
0.003	0.00488281	1.93482	1.29333	-0.000610352	5	
0.00308333	0.00488281	1.93329	1.29822	-0.00152588	5	
0.00316667	0.00457764	1.93329	1.30249	-0.000305176	5	
0.00325	0.00488281	1.93024	1.30432	-0.00152588	5	
0.00333333	0.00488281	1.93176	1.3031	0.000305176	5	
0.00341667	0.00488281	1.93176	1.30188	-0.0012207	5	
0.0035	0.00457764	1.93024	1.29974	0	5	
0.00358333	0.00457764	1.93482	1.29822	-0.000610352	5	
0.00366667	0.00518799	1.93482	1.29791	-0.0012207	5	
0.00375	0.00488281	1.93482	1.29944	-0.000610352	5	
0.00383333	0.00518799	1.93482	1.3028	-0.000305176	5	
0.00391667	0.00579834	1.93482	1.30646	-0.000610352	5	
0.004	0.00488281	1.93024	1.31104	0	5	
0.00408333	0.00488281	1.93482	1.31561	-0.000610352	5	
0.00416667	0.00579834	1.93329	1.3208	-0.000610352	5	
0.00425	0.00579834	1.93329	1.32385	-0.000915527	5	
0.00433333	0.00610352	1.93634	1.32538	-0.000305176	5	
0.00441667	0.00610352	1.93634	1.32629	0.000305176	5	
0.0045	0.00549316	1.93024	1.32538	-0.000305176	5	
0.00458333	0.00549316	1.93634	1.32477	-0.000305176	5	
0.00466667	0.00610352	1.93329	1.32233	-0.000610352	5	
0.00475	0.00640869	1.93176	1.32172	-0.000305176	5	
0.00483333	0.00640869	1.93329	1.32263	-0.000915527	5	
0.00491667	0.00518799	1.93482	1.32721	0.0012207	5	
0.005	0.00518799	1.93024	1.3382	-0.000305176	5	
0.00508333	0.00640869	1.93634	1.35559	0	5	
0.00516667	0.00610352	1.93024	1.37787	-0.000915527	5	
0.00525	0.00579834	1.93176	1.40106	-0.000305176	5	
0.00533333	0.00579834	1.93329	1.42639	-0.000915527	5	
0.00541667	0.00640869	1.93634	1.44897	0.000610352	5	
0.0055	0.00549316	1.92719	1.46973	-0.000610352	5	
0.00558333	0.00701904	1.93329	1.48315	-0.000610352	5	
0.00566667	0.00610352	1.93482	1.49475	-0.000610352	5	
0.00575	0.00640869	1.93329	1.50146	-0.000305176	5	
0.00583333	0.00640869	1.93176	1.50421	-0.000610352	5	
0.00591667	0.00671387	1.93176	1.50452	-0.00152588	5	
0.006	0.00640869	1.93329	1.50269	-0.000305176	5	
0.00608333	0.00732422	1.93787	1.49963	-0.000915527	5	
0.00616667	0.00701904	1.93329	1.49597	0	5	
0.00625	0.00640869	1.93176	1.49109	0	5	
0.00633333	0.00671387	1.93176	1.48834	-0.000610352	5	
0.00641667	0.00701904	1.93024	1.48438	-0.00152588	5	
0.0065	0.00701904	1.93176	1.48102	-0.000305176	5	
0.00658333	0.00762939	1.93939	1.47888	-0.000915527	5	
0.00666667	0.00701904	1.92871	1.47766	0.000305176	5	
0.00675	0.00701904	1.93024	1.47491	0	5	
0.00683333	0.00732422	1.93176	1.47644	-0.000610352	5	
0.00691667	0.00671387	1.92871	1.48071	-0.000915527	5	
0.007	0.00671387	1.93482	1.49139	-0.0012207	5	
0.00708333	0.00640869	1.93329	1.50482	0	5	
0.00716667	0.00671387	1.93024	1.521	-0.000915527	5	
0.00725	0.00701904	1.92871	1.54022	-0.000915527	5	
0.00733333	0.00732422	1.93024	1.56158	-0.000610352	5	
0.00741667	0.00762939	1.93329	1.58356	-0.000915527	5	
0.0075	0.00701904	1.93634	1.60736	-0.000915527	5	
0.00758333	0.00762939	1.93482	1.63269	0	5	
0.00766667	0.00701904	1.93329	1.65802	-0.000915527	5	
0.00775	0.00671387	1.93024	1.68488	-0.000915527	5	
0.00783333	0.00671387	1.93329	1.71509	-0.0012207	5	
0.00791667	0.00640869	1.93024	1.74744	-0.000915527	5	
0.008	0.00701904	1.93329	1.78253	-0.0012207	5	
0.00808333	0.00762939	1.93634	1.81824	-0.0012207	5	
0.00816667	0.00701904	1.93329	1.85455	0	5	
0.00825	0.00671387	1.93176	1.88782	0	5	
0.00833333	0.00762939	1.93634	1.92078	-0.000610352	5	
